,162411.SZ,510300.SH,511010.SH,513100.SH,518880.SH
2020-01-02,-0.06170887081001913,0.08571841804799914,0.6431450463896831,0.09790280033601245,0.11152486441628627
2020-01-03,-0.07636351165461644,0.10454159805664333,0.5645226500883287,0.11409878542359908,0.14047345477681253
2020-01-06,-0.0752864354976735,0.10708423137031012,0.5751435184039831,0.1182342604702147,0.1242515542578185
2020-01-07,-0.074996385199359,0.11076883370545965,0.6000286552822052,0.1092316527793738,0.10497447303360254
2020-01-08,-0.06871865274020815,0.1120896310364048,0.6131700763717671,0.1046004866580821,0.10142115319353784
2020-01-09,-0.07073573103505068,0.10781669627114823,0.6273418893436565,0.09956867337047899,0.09453700997966558
2020-01-10,-0.05911164717271437,0.11126758643403177,0.6679803720703835,0.09181563339002338,0.0698247609328469
2020-01-13,-0.059882789637997036,0.11294399270625956,0.6732637522532788,0.08286897656047192,0.07104048884199256
2020-01-14,-0.05933875408505377,0.1095156564523773,0.6770348900088804,0.08258831851084392,0.07152238094284467
2020-01-15,-0.05864954568017002,0.10817810941233791,0.6819722389538432,0.08172513096381342,0.0694749749898355
2020-01-16,-0.058938719324769163,0.10378737882349885,0.686184629651228,0.08218944065987234,0.06889983154063173
2020-01-17,-0.0620435825996034,0.10882287075364937,0.6706319413055355,0.08592164416913718,0.07257996117207452
2020-01-20,-0.0625494245476164,0.10977986034090081,0.6694698786529933,0.08501056083039896,0.07319027562809059
2020-01-21,-0.06290326302909144,0.10930917121372528,0.6785065641378667,0.07504332460503596,0.07423767701428068
2020-01-22,-0.0792407581780626,0.1141317673277745,0.623544583902007,0.09137269428877828,0.09171019630337778
2020-01-23,-0.08130698358997653,0.12133579859114425,0.6064250364513892,0.0955952359369394,0.09533694543055059
2020-02-03,-0.09593157218085491,0.10831997915229505,0.5687497076820046,0.11305493467045576,0.1139438063143896
2020-02-04,-0.1074551448817186,0.0892065762982185,0.5094372941841276,0.12220906714736732,0.17169191748856796
2020-02-05,-0.11904326680304214,0.09502717884987304,0.4697658430351275,0.12383032971017512,0.1923333816017823
2020-02-06,-0.12120696918905091,0.09598053453970362,0.47902541209783817,0.1105846521162852,0.1932024320571221
2020-02-07,-0.11448696482346804,0.09515996351260596,0.48434802988950004,0.10853504428154134,0.1974699974928845
2020-02-10,-0.11257255484657931,0.0954981024834553,0.4854767720746551,0.1089227298284709,0.19752984076683938
2020-02-11,-0.11227923836882742,0.09552102929524822,0.4855770544312387,0.10910039990432975,0.19752227800035596
2020-02-12,-0.11331097621956719,0.09554178996242144,0.49009356839163654,0.10251139564208406,0.198542269784291
2020-02-13,-0.11379046553723529,0.09574307971061831,0.49043043705645395,0.10086172782173093,0.1991742898739615
2020-02-14,-0.11613917341674539,0.09755484383186612,0.4966988764945205,0.08868888608210561,0.20091822017476224
2020-02-17,-0.11781332717981229,0.09860346525956963,0.5036745080283267,0.07604894253862031,0.2038597569936711
2020-02-18,-0.11882024066530332,0.09594749846844673,0.5041895606560607,0.07563586435818696,0.20540683585200237
2020-02-19,-0.11970601669372206,0.09626175108546892,0.5077164774849944,0.07020972353738963,0.20610603119842513
2020-02-20,-0.1174290185944441,0.09736277091613516,0.5135246401304691,0.07029757586078597,0.2013859944981656
2020-02-21,-0.1154700943208205,0.09454293816981345,0.5157146436668677,0.07099259201103109,0.2032797318314673
2020-02-24,-0.11752732373775032,0.09711826646779657,0.5290825839324947,0.06976232326529158,0.18650950259666665
2020-02-25,-0.11930692187293221,0.09923397775814578,0.5420294978678079,0.06570820207925995,0.17372140042185427
2020-02-26,-0.12212291721880313,0.10227603239498617,0.5579058974314977,0.06440650681070618,0.1532886461440069
2020-02-27,-0.11981743574346258,0.10184852279049411,0.5607662749377591,0.06370224378888853,0.15386552273939566
2020-02-28,-0.11179671301213613,0.10297418200193159,0.5660890124480368,0.06386155840862048,0.15527853412927506
2020-03-02,-0.08939479219286685,0.09977443615241022,0.5874529259694511,0.06327216018263858,0.16010568550263324
2020-03-03,-0.08141207832804177,0.09410159844725263,0.6125042364427671,0.06218263581000472,0.14979945097193378
2020-03-04,-0.08068838348014995,0.09419685130487891,0.6131183202225857,0.062157381402922034,0.1498390635894635
2020-03-05,-0.08083944533292481,0.09543974899012167,0.6208702846084683,0.06318305506896724,0.13966746599951807
2020-03-06,-0.08106277455605031,0.0917870028421961,0.623485228352216,0.06346647200176023,0.14019852224777732
2020-03-09,-0.08101732332515274,0.08991423152925457,0.6326576188378756,0.06331691494336915,0.13309391136434795
2020-03-10,-0.06236101595474338,0.09494414247641376,0.630171165765037,0.062197991762680656,0.1503256840411252
2020-03-11,-0.06351334177879561,0.09586063656098227,0.6292924789638323,0.06001870702547108,0.15131483567091886
