,buy_and_hold,periodic_rebalance
2020-01-02,1.0000000000000002,1.0000000000000002
2020-01-03,1.0066802998590272,1.0066802998590272
2020-01-06,1.0118603913772988,1.0118603913772988
2020-01-07,1.0103653067162763,1.0103653067162763
2020-01-08,1.0120653856837207,1.0120653856837207
2020-01-09,1.0041637513644424,1.0041637513644424
2020-01-10,1.008633897507565,1.008633897507565
2020-01-13,1.0084342746600843,1.0084342746600843
2020-01-14,1.0052715106775902,1.0052715106775902
2020-01-15,1.0065764745990964,1.0065764745990964
2020-01-16,1.0075717631728032,1.0075717631728032
2020-01-17,1.0099888872785068,1.0099888872785068
2020-01-20,1.0064865497577034,1.0064865497577034
2020-01-21,1.0035182789728712,1.0035182789728712
2020-01-22,1.0014400842794362,1.0014400842794362
2020-01-23,0.9982107425091674,0.9982107425091674
2020-02-03,0.967866461496345,0.9669628656625519
2020-02-04,0.9792156560568297,0.978245464012739
2020-02-05,0.9890866795765612,0.9875630613243902
2020-02-06,1.003597743861861,1.002160498666442
2020-02-07,1.0027020623316836,1.0008396639191885
2020-02-10,1.0039183372382408,1.0018055578913394
2020-02-11,1.013140471589388,1.01043150958239
2020-02-12,1.020046559901129,1.016964791183005
2020-02-13,1.033204502000098,1.029006250622706
2020-02-14,1.0222226240409555,1.0187993358240737
2020-02-17,1.0237030459132594,1.0204939878056118
2020-02-18,1.013917184239615,1.0111696557002672
2020-02-19,1.015978903906672,1.0135055007061802
2020-02-20,1.024072785261239,1.0218121342579791
2020-02-21,1.0210436966197638,1.0190054649137315
2020-02-24,1.0121562308552134,1.0104684941199649
2020-02-25,1.013044749662336,1.0107244142257574
2020-02-26,1.0055677754142,1.0032231228233455
2020-02-27,0.9980023365376947,0.9954819466057143
2020-02-28,0.9683195735625717,0.9655579400863934
2020-03-02,0.9850682493779148,0.983903709707299
2020-03-03,0.9870567664211802,0.9860877017515363
2020-03-04,0.9948447371225866,0.9938346828045326
2020-03-05,0.9997998928881762,0.9988621063340772
2020-03-06,0.9925046716498669,0.9904251156713375
2020-03-09,0.9559429484089207,0.950495250768974
2020-03-10,0.9605200659005008,0.9530515505990057
2020-03-11,0.9457688365260788,0.9367798196897021
2020-03-12,0.9206169488203091,0.9087428180723809
2020-03-13,0.9088247676927125,0.8961312560450192
2020-03-16,0.8801202157193933,0.8679578798877915
2020-03-17,0.876103000877769,0.8655577891083127
2020-03-18,0.869291900610905,0.8578229276667162
2020-03-19,0.8720818092519325,0.860950699077899
2020-03-20,0.8887834371290864,0.8786638990517417
2020-03-23,0.8747942800848655,0.8652497518449553
2020-03-24,0.9048097280145087,0.894833588023638
2020-03-25,0.9237303072222668,0.9138830993552931
2020-03-26,0.9135879051446376,0.9030272142361886
2020-03-27,0.9123850600860544,0.9015926688547512
2020-03-30,0.9028502201543853,0.8918023520183558
2020-03-31,0.9067878488730285,0.8965160417308695
2020-04-01,0.9018901774713552,0.8922398095429778
2020-04-02,0.9142763596048249,0.9072535972803222
2020-04-03,0.9100437304530051,0.9019216085920221
2020-04-07,0.923777395912451,0.9125404879561395
2020-04-08,0.9201951180652137,0.9089904340626773
2020-04-09,0.9241765303046122,0.9137915751011494
2020-04-10,0.9199062654323066,0.9085588368142662
2020-04-13,0.9181834331128216,0.9073999606796156
2020-04-14,0.9285381258159184,0.9173671064419479
2020-04-15,0.9328008285884151,0.9215439120781818
2020-04-16,0.9358944230958544,0.9243076591279689
2020-04-17,0.9417270228235701,0.9307999449699236
2020-04-20,0.9399586547899742,0.9284821215974857
2020-04-21,0.9360023085010928,0.9230639587099556
2020-04-22,0.9385545358483289,0.923394685661078
2020-04-23,0.9501834024498271,0.9365963658757746
2020-04-24,0.9493757657124404,0.9355438655256265
2020-04-27,0.9565417035792895,0.9427509438505238
2020-04-28,0.9627837594092935,0.9493745193110273
2020-04-29,0.9729657854447981,0.9607597775258152
2020-04-30,0.9891233486871314,0.9826100906951701
2020-05-06,0.9861556913096142,0.9781135000230223
2020-05-07,0.980632829726326,0.9709105650174493
2020-05-08,0.9890863695670659,0.9800080921024238
2020-05-11,0.9854558906581323,0.9779407787085305
2020-05-12,0.9794487992947429,0.9719560396713617
2020-05-13,0.9782244815519983,0.9701433580007024
2020-05-14,0.9704506645646728,0.9606931577552957
2020-05-15,0.9754877143761084,0.9655135431589412
2020-05-18,0.9848455214893389,0.9745830667691637
2020-05-19,0.9930842767277552,0.9846100242620833
2020-05-20,0.990949767047564,0.981806050132247
2020-05-21,0.9889980962438466,0.9807033769322512
2020-05-22,0.973932716030254,0.9648291932091263
2020-05-25,0.9832090707162423,0.9744260424075024
