,trade_cost
2020-01-02,6.496771459393303e-06
2020-01-03,7.862239630135437e-05
2020-01-06,1.7298976675936913e-05
2020-01-07,2.8569739213371457e-05
2020-01-08,1.4462218420507184e-05
2020-01-09,1.6188891266731938e-05
2020-01-10,4.408937288961057e-05
2020-01-13,8.94665682955145e-06
2020-01-14,4.253029856453598e-06
2020-01-15,4.937348944962797e-06
2020-01-16,4.965874038042828e-06
2020-01-17,1.5552688345692423e-05
2020-01-20,2.0731459912804486e-06
2020-01-21,1.04379253525385e-05
2020-01-22,5.496198023585977e-05
2020-01-23,1.711954745061767e-05
2020-02-03,5.069114820823379e-05
2020-02-04,7.842581635195356e-05
2020-02-05,3.9671451149000184e-05
2020-02-06,1.3245677593889886e-05
2020-02-07,9.590183227424332e-06
2020-02-10,1.914409976888798e-06
2020-02-11,3.008792442353442e-07
2020-02-12,6.589004262245763e-06
2020-02-13,1.6496678203530082e-06
2020-02-14,1.2172841739625262e-05
2020-02-17,1.2639943543485382e-05
2020-02-18,3.0690449715562727e-06
2020-02-19,5.426140820797357e-06
2020-02-20,6.997034799537373e-06
2020-02-21,4.77875701994538e-06
2020-02-24,1.800049798054007e-05
2020-02-25,1.684222336084411e-05
2020-02-26,2.1734449546401127e-05
2020-02-27,3.4372541016502375e-06
2020-02-28,8.02072273132648e-06
2020-03-02,2.6191064894772526e-05
2020-03-03,2.505131047331598e-05
2020-03-04,7.489492549745749e-07
2020-03-05,1.01715975899454e-05
2020-03-06,3.6527461479255105e-06
2020-03-09,9.172390485659598e-06
2020-03-10,2.226168362393649e-05
2020-03-11,3.0579715384142953e-06
2020-03-12,4.9315677230786295e-06
2020-03-13,1.202924165032638e-05
2020-03-16,1.2647723547726978e-05
2020-03-17,1.820117295258358e-05
2020-03-18,2.1696737358762387e-05
2020-03-19,6.275530264532089e-06
2020-03-20,4.237534234697214e-06
2020-03-23,6.55185201640305e-06
2020-03-24,1.2658339497412699e-05
2020-03-25,2.910783969404523e-05
2020-03-26,7.748930246900512e-06
2020-03-27,1.8837886508375064e-06
2020-03-30,4.7008940095774263e-07
2020-03-31,6.524670225537161e-07
2020-04-01,1.6740883581238507e-06
2020-04-02,1.5871225958091415e-06
2020-04-03,2.9440222434779472e-06
2020-04-07,3.644215632457419e-07
2020-04-08,1.3086050772707946e-05
2020-04-09,1.0026912030612238e-05
2020-04-10,6.77506774223284e-07
2020-04-13,8.198540682567483e-06
2020-04-14,3.477615422740124e-07
2020-04-15,4.046086627963949e-06
2020-04-16,0.00011570797882706852
2020-04-17,4.216477085960832e-06
2020-04-20,4.737995086952617e-06
2020-04-21,4.5043382882718057e-07
2020-04-22,2.459652589963269e-06
2020-04-23,6.786034213024674e-06
2020-04-24,4.869688764198854e-06
2020-04-27,1.3110302553845688e-06
2020-04-28,3.5507653517686046e-06
2020-04-29,2.3893053834674676e-06
2020-04-30,4.25491789661537e-06
2020-05-06,1.490590623126424e-05
2020-05-07,1.3660475911209385e-05
2020-05-08,5.235613642854627e-05
