,value
strategy_total_return,0.4060530326762981
benchmark_total_return,1.1300605175455338
excess_total_return,-0.7240074848692357
tracking_error,0.10609796408507123
information_ratio,-0.7187461059677394
beta,0.30743090546536606
alpha_annual,0.0037681727164353696
excess_max_drawdown,-0.4299682985852872
correlation,0.627169658363048
