,contrib_162411.SZ,contrib_510300.SH,contrib_511010.SH,contrib_513100.SH,contrib_518880.SH
2020-01-02,-0.0009119537558130825,0.0011091494522812387,-0.002543581213245681,0.0014410997857164391,-0.00046139128304609916
2020-01-03,-0.0012974383048114523,-0.0002519681804209139,-0.0005249086018227799,0.0004930194431883781,0.0021675429223721814
2020-01-06,-0.0014374498424376766,-0.00041395209034186803,0.0006027949273094951,-0.001526072200291651,0.002723222258718974
2020-01-07,0.0014050845002221842,0.0008597144502970407,-0.0002764159445898015,0.0015303313745553555,-0.0009305715367576874
2020-01-08,-0.0006560253244888589,-0.0011060589344145833,0.0006833781939853828,-0.0012203925369994424,0.0019020123939930682
2020-01-09,0.0025083592565620844,0.0011531197462154937,0.0005513639386041349,0.002196140357037593,-0.003293132887991751
2020-01-10,0.0002897629763368275,-2.6759881297280818e-05,0.0006815328197818018,0.00212096903879689,0.0002048848618921574
2020-01-13,0.0005899782230344528,0.0012226316266013189,1.6874342139695625e-05,-0.00017233595838481332,0.0
2020-01-14,0.0007380442050379821,-0.0004691294184061744,0.0005090530422210034,0.0010326613210644292,-0.0009207094094456312
2020-01-15,-0.00014773185309866968,-0.0008273660375704667,0.0002903487314079956,0.00021626762089807126,0.0005971470879387144
2020-01-16,0.000148087234484342,-0.00014998176130564132,-0.0010993612224051849,0.0007471767332715624,6.0740374558303825e-05
2020-01-17,0.00015628106448262622,0.00013123838730541007,0.0006277645880100608,0.0010487384641394175,-4.261888501002931e-05
2020-01-20,0.0004738592768758814,0.0007933981715796358,0.00030186517574531756,-0.0014400295977586948,2.1501256059949177e-05
2020-01-21,0.00016005919345824586,-0.001986964126343707,0.003205257443220656,-0.0005917551881822385,0.0006976815460960287
2020-01-22,0.0012128687476234041,0.00038924354265255473,-0.001445164802364648,0.0010490241616904433,-0.0008004963308412299
2020-01-23,0.0010531992693002179,-0.003623283133457315,0.003524405920376081,0.0011685098688450034,0.0006436013339896356
2020-02-03,0.006042933680683784,-0.00913509333691779,0.008465400991831386,-0.005688503038335194,0.002989779174430048
2020-02-04,-0.0015049740179512356,0.002706184741487371,-0.005239935952479981,0.004402930363468592,-0.0013657311618408784
2020-02-05,-0.0,0.000932627484733503,0.0007317345580342878,0.005355607480159534,-0.0012668006233794535
2020-02-06,-0.003348258817377102,0.0022690433697329492,-0.0013796247211211358,0.003469322419334425,-0.0009467977356503374
2020-02-07,0.002154324606893214,-0.00021976896885128087,0.0007634452131949465,0.0007958843551335145,0.0009152722942891726
2020-02-10,0.0012336718339351106,0.00031930949904446763,0.0008120213629118436,0.0006754442669330938,0.0007404521136011934
2020-02-11,0.0006220456419325684,0.0010284243092541596,0.00029158029574541963,0.004063492922481745,-0.0005106867285271893
2020-02-12,-0.0,0.0006784605931898957,-0.00048347797805845915,0.002648188985845615,-0.0004002868342425328
2020-02-13,0.0006339301701238766,-0.0005063220030025047,-0.0007062534066661387,0.005740304831959502,0.0014370439384845735
2020-02-14,0.0006506396269845657,0.000666830578091236,-1.637284404207635e-05,-0.003951589634823388,0.0002302787623779416
2020-02-17,0.0006637370545341529,0.0021570282820172273,-0.0007346974108190343,-0.0006448040015743355,0.0006418023259674492
2020-02-18,0.0006732024966872697,-0.0005902282140037366,-9.570638541414683e-05,-0.002644211555781678,0.000996267106842823
2020-02-19,-0.001364171130412791,2.383306538388952e-05,0.00010896732303647667,-0.0006953269466825259,0.0023407839999821157
