,value
strategy_total_return,0.39651769600281983
benchmark_total_return,1.9749330832949803
excess_total_return,-1.5784153872921605
tracking_error,0.11970526545580057
information_ratio,-0.6252961887253553
beta,0.08936501173315224
alpha_annual,0.0028631782272299233
excess_max_drawdown,-0.6260399826317848
correlation,0.339426597942658
