,value
strategy_total_return,0.4060530326762981
benchmark_total_return,1.2167406815342434
excess_total_return,-0.8106876488579453
tracking_error,0.10053479363751155
information_ratio,-0.8121313243705706
beta,0.3131523805022636
alpha_annual,0.0014131824345033905
excess_max_drawdown,-0.45948459461238655
correlation,0.5923384413816766
