,nav
2020-01-02,1.006376364581837
2020-01-03,1.0083540710945957
2020-01-06,1.0098475594935938
2020-01-07,1.0111081746729493
2020-01-08,1.0113788449208687
2020-01-09,1.0120231475827404
2020-01-10,1.0151915899161057
2020-01-13,1.0163344004414843
2020-01-14,1.0164943640709458
2020-01-15,1.016788029250396
2020-01-16,1.0163057755358644
2020-01-17,1.0182039434947625
2020-01-20,1.0178510234073048
2020-01-21,1.0192781001231686
2020-01-22,1.0183365698003923
2020-01-23,1.0202181997379491
2020-02-03,1.0163728977036015
2020-02-04,1.0168667132070548
2020-02-05,1.0234692974843644
2020-02-06,1.0274278791463112
2020-02-07,1.030038915105681
2020-02-10,1.032995061100325
2020-02-11,1.0386651359298678
2020-02-12,1.0415191547619338
2020-02-13,1.0485273904476793
2020-02-14,1.0448703023585617
2020-02-17,1.0465365974818535
2020-02-18,1.0437613486658095
2020-02-19,1.0458634783886658
2020-02-20,1.0489922130573406
2020-02-21,1.0526005323338397
2020-02-24,1.0540580676788118
2020-02-25,1.051969939131332
2020-02-26,1.05061080804929
2020-02-27,1.0503380061867331
2020-02-28,1.0430416819703952
2020-03-02,1.045085111335345
2020-03-03,1.0453003904251632
2020-03-04,1.0507891375965062
2020-03-05,1.0535723160353077
2020-03-06,1.054299002897142
2020-03-09,1.0499540020256404
2020-03-10,1.0513128450041835
2020-03-11,1.0488803362432852
2020-03-12,1.0435829377216002
2020-03-13,1.035193827340525
2020-03-16,1.0217051382967812
2020-03-17,1.0139638023608128
2020-03-18,1.013063834796876
2020-03-19,1.0110426566376578
2020-03-20,1.017015899849176
2020-03-23,1.0141179484715976
2020-03-24,1.0269932489250895
2020-03-25,1.0337923583472297
2020-03-26,1.0331132641683285
2020-03-27,1.034848551000862
2020-03-30,1.0328809254148732
2020-03-31,1.0346193112114686
2020-04-01,1.033919725600671
2020-04-02,1.0358827390420784
2020-04-03,1.0348266156169172
2020-04-07,1.0459466670431934
2020-04-08,1.0473699867930455
2020-04-09,1.0490653004704638
2020-04-10,1.0469658946049762
2020-04-13,1.0466574876821115
2020-04-14,1.0516242745428206
2020-04-15,1.0558053134043395
2020-04-16,1.0564697573784076
2020-04-17,1.0565174324816848
2020-04-20,1.0558068820515716
2020-04-21,1.0567987480706058
2020-04-22,1.0612750501862291
2020-04-23,1.0673109104912
2020-04-24,1.0684547980277725
2020-04-27,1.070546746545577
2020-04-28,1.0724410022407906
2020-04-29,1.0770392402238211
2020-04-30,1.0780788214606971
2020-05-06,1.0763616897742994
2020-05-07,1.0711050547825458
2020-05-08,1.0727817860510118
2020-05-11,1.0686907164696773
2020-05-12,1.0675469311417358
2020-05-13,1.0676898385133209
2020-05-14,1.0671351798939488
2020-05-15,1.070162469693043
2020-05-18,1.0724285978504213
2020-05-19,1.071318982566136
2020-05-20,1.0696263306038927
2020-05-21,1.06826889853721
2020-05-22,1.0681130180915883
2020-05-25,1.0690588221391075
2020-05-26,1.0677706129501439
2020-05-27,1.0632096620479414
2020-05-28,1.0656578709242261
2020-05-29,1.06409122635837
2020-06-01,1.064958318680254
2020-06-02,1.0608241037239488
2020-06-03,1.058113264377445
2020-06-04,1.0563393919949196
2020-06-05,1.0553408051738677
2020-06-08,1.055729487118188
2020-06-09,1.0562812522532081
2020-06-10,1.0559902195257262
2020-06-11,1.0586901877401718
2020-06-12,1.0581255816489108
2020-06-15,1.0544293271472962
2020-06-16,1.0544999091271352
2020-06-17,1.0526181422858338
