,buy_and_hold,periodic_rebalance
2014-08-01,1.0,1.0
2014-08-04,1.0055724968951776,1.0055724968951776
2014-08-05,1.0042758768032,1.0042758768032
2014-08-06,1.0002255379778888,1.0002255379778888
2014-08-07,0.9994732474363397,0.9994732474363397
2014-08-08,0.9976988181242477,0.9976988181242477
2014-08-11,1.00008224564513,1.00008224564513
2014-08-12,1.0049368751863852,1.0049368751863852
2014-08-13,1.0080587027471555,1.0080587027471555
2014-08-14,1.0009495050792891,1.0009495050792891
2014-08-15,1.0075811316109533,1.0075811316109533
2014-08-18,1.0061708214959708,1.0061708214959708
2014-08-19,1.0038597888590788,1.0038597888590788
2014-08-20,1.0056104194371518,1.0056104194371518
2014-08-21,1.0005017374284726,1.0005017374284726
2014-08-22,1.0040561724099932,1.0040561724099932
2014-08-25,1.0029879054977688,1.0029879054977688
2014-08-26,1.0087792536457734,1.0087792536457734
2014-08-27,1.00522072580487,1.00522072580487
2014-08-28,1.0044320612359028,1.0044320612359028
2014-08-29,1.0077767370888302,1.0077767370888302
2014-09-01,1.0060361403558389,1.0059460632047252
2014-09-02,1.0148379074746536,1.0147580551814048
2014-09-03,1.0134964867302751,1.0133549874594472
2014-09-04,1.0166325508003184,1.0166338338468504
2014-09-05,1.014635753107979,1.0146041616631
2014-09-09,1.0200248624803092,1.0200110901985955
2014-09-10,1.0106724537117795,1.0106098701974657
2014-09-11,1.012551387727537,1.0125143765184985
2014-09-12,1.0068653387794595,1.0067483604478116
2014-09-15,1.0039506067490884,1.0038291268907644
2014-09-16,0.9954296688306981,0.9953375092922694
2014-09-17,0.9955584180860908,0.995382313452047
2014-09-18,0.9962912519012574,0.9960872277469649
2014-09-19,0.9986966899998491,0.99839978296517
2014-09-22,0.9928161224306432,0.9925481831228699
2014-09-23,0.9846483320046693,0.9843219620092615
2014-09-24,0.9863606846019923,0.9860767094717566
2014-09-25,0.9870774416273629,0.9867322654177072
2014-09-26,0.9869742587515369,0.9867915166222743
2014-09-29,0.9865293801946504,0.9862379562277224
2014-09-30,0.9919163974247676,0.9916987432953375
2014-10-08,0.985241260351392,0.9847745917585832
2014-10-09,0.9903053372603257,0.989829163870371
2014-10-10,0.9931269756248113,0.9933865917110806
2014-10-13,0.9825894417003943,0.9824121648382005
2014-10-14,0.9833406900474894,0.9833611052979129
2014-10-15,0.9726546138347569,0.9715763839138949
2014-10-16,0.9704405141740484,0.9692260371555613
2014-10-17,0.9521410754501708,0.9496513216964293
2014-10-20,0.9544269810475491,0.9517959131967222
2014-10-21,0.9537304414423127,0.9510397702529111
2014-10-22,0.9598977323126159,0.9574028645083691
2014-10-23,0.9524384047637876,0.9498055330124551
2014-10-24,0.9530529662865119,0.9503310403358681
2014-10-27,0.9518721372422059,0.949091869134511
2014-10-28,0.955824350650406,0.952834394939928
2014-10-29,0.9623661632185965,0.9592043346796859
2014-10-30,0.9622259941801805,0.9589868845364471
2014-10-31,0.964885349772808,0.9611805120346513
2014-11-03,0.9667960019379329,0.9636166166968024
2014-11-04,0.9663158986317275,0.9626535111412011
2014-11-05,0.960493501109041,0.9561950189794745
2014-11-06,0.9594375928267065,0.9551714052926237
2014-11-07,0.9615912451248544,0.9573601769333162
2014-11-10,0.9760957883106984,0.972537477660907
2014-11-11,0.9710661401442358,0.9673274217491425
2014-11-12,0.9765507049879999,0.9726001362885707
2014-11-13,0.9735851090261363,0.9695190073169556
2014-11-14,0.9712840721361082,0.9667155912081569
2014-11-17,0.9752367225883547,0.9712364445750001
2014-11-18,0.9743289732940905,0.9706413135222153
2014-11-19,0.9740680033248978,0.9696040436985736
2014-11-20,0.9711269276504099,0.9668057224018166
2014-11-21,0.981726114432661,0.9780430548763495
2014-11-24,0.9888127132624129,0.9847727971560082
2014-11-25,0.9910959404004632,0.9859208581891779
2014-11-26,0.9965709538785645,0.9915827537539025
2014-11-27,0.9983203766779962,0.9922290669434674
2014-11-28,1.0008508270147032,0.9935614895113593
2014-12-01,0.9969014587961308,0.9892094722931848
2014-12-02,1.0100193226945489,1.001301340542788
2014-12-03,1.0129693193984546,1.0036883034072261
2014-12-04,1.02997824434403,1.0185965957105672
2014-12-05,1.0249994380347707,1.0134767760922778
2014-12-08,1.031144346393822,1.0157337452218074
2014-12-09,1.0128541488215461,0.9997352462012085
2014-12-10,1.028777364295911,1.013533673135608
2014-12-11,1.0131189995124896,0.9965573151672812
2014-12-12,1.0042096747279992,0.9843208563058388
2014-12-15,1.003091803422453,0.9819110558921142
2014-12-16,1.0066981680127003,0.9842207154455435
2014-12-17,1.0080902093719268,0.9846194982811972
2014-12-18,1.0247574098117433,1.0048676954181106
2014-12-19,1.0451915937089686,1.0270477451872218
2014-12-22,1.034455513950732,1.0143160794296737
2014-12-23,1.0159851770567632,0.9929995370435312
2014-12-24,1.0096734300037555,0.988693841705404
2014-12-25,1.0177911886046083,0.9945597345515073
2014-12-26,1.0297099978721227,1.0047938751960264
2014-12-29,1.0326531136547397,1.0083866578145522
2014-12-30,1.029039862319269,1.0043147971011335
2014-12-31,1.0381925788964075,1.0124989385321
2015-01-05,1.0434097863596075,1.0145184416561657
2015-01-06,1.039800950881142,1.0116048085281515
2015-01-07,1.0404371999469377,1.0119053294756513
2015-01-08,1.045072928103204,1.0244309168737467
2015-01-09,1.0435327858746128,1.0213826725435087
2015-01-12,1.0347153771776725,1.0079299992088573
2015-01-13,1.0258687836761327,0.9951652865122316
2015-01-14,1.0233115239559747,0.9924692653350851
2015-01-15,1.0334970775359236,1.0008405913363463
2015-01-16,1.0447026753270547,1.013557523454031
2015-01-19,1.0200511378414108,1.0016258658382273
2015-01-20,1.0256344689555832,1.002561402529945
2015-01-21,1.0409971503934794,1.011730714990231
2015-01-22,1.0512661420850584,1.0277492368827457
2015-01-23,1.0481505103946225,1.01821472485604
2015-01-26,1.0522241587628947,1.0219541717803708
2015-01-27,1.0473442970492197,1.0175467826150677
2015-01-28,1.0412559528435394,1.014305082615566
2015-01-29,1.0317870964574174,1.0045876817857153
2015-01-30,1.0254219325445872,0.9982221129030105
2015-02-02,1.022525501283488,0.9990181966481625
2015-02-03,1.0337077892967281,1.0098047568398472
2015-02-04,1.0345114813043261,1.0143134847635804
2015-02-05,1.027588977401376,1.0051374150814163
2015-02-06,1.0282969457090445,1.009488040086179
2015-02-09,1.0249285357233477,1.0052257781984557
2015-02-10,1.0286471552284928,1.0069750659604275
2015-02-11,1.0321948781501096,1.008639589027344
2015-02-12,1.0335560184734636,1.0097540822387823
2015-02-13,1.0441622275498086,1.0217786087274092
2015-02-16,1.0504197562678232,1.028463606120836
2015-02-17,1.0563268881178933,1.036012416628547
