,turnover
2014-08-01,0.009204255583058985
2014-08-04,0.020635576458661514
2014-08-05,0.027462397966028562
2014-08-06,0.003922812018898575
2014-08-07,0.00767241750213718
2014-08-08,0.007121387227621706
2014-08-11,0.0006656782725671662
2014-08-12,0.009768343167556148
2014-08-13,0.002193918890452895
2014-08-14,0.0005908611647550688
2014-08-15,0.016765564424710194
2014-08-18,0.006047988662385567
2014-08-19,0.002449196836816686
2014-08-20,0.000840172481989615
2014-08-21,0.0021175494272449857
2014-08-22,0.0011888068514721017
2014-08-25,0.00040247481896374393
2014-08-26,0.01014657799520255
2014-08-27,0.0037271941377575724
2014-08-28,0.2828626344848039
2014-08-29,0.0018244848731204244
2014-09-01,0.00826521188631657
2014-09-02,0.0005293455105394307
2014-09-03,0.016580008180957867
2014-09-04,0.0042410498830054155
2014-09-05,0.0036563875433689996
2014-09-09,0.0039754941356146545
2014-09-10,0.3458512724683871
2014-09-11,0.004660752427136053
2014-09-12,0.006277439297419404
2014-09-15,0.2139110971160218
2014-09-16,0.007298332199103891
2014-09-17,0.03497491391978322
2014-09-18,0.00967744149393572
2014-09-19,0.18834231815580685
2014-09-22,0.01657395094844863
2014-09-23,0.053141901060446625
2014-09-24,0.18960493043263357
2014-09-25,0.11347361719221079
2014-09-26,0.015978697126753483
2014-09-29,0.08186073059224115
2014-09-30,0.017621297553331777
2014-10-08,1.1613641397352539
2014-10-09,0.037306968626121886
2014-10-10,1.3862500705877943
2014-10-13,1.1559240739540275
2014-10-14,1.1760617606255201
2014-10-15,0.1396451449332766
2014-10-16,0.012445369626818845
2014-10-17,1.0444851709642704
2014-10-20,1.033587459616839
2014-10-21,0.006376202310557244
2014-10-22,0.021625066720131716
2014-10-23,0.3735018955193637
2014-10-24,0.9740047209947397
2014-10-27,0.33080781450820207
2014-10-28,0.010349844904553748
2014-10-29,0.31064779355406125
2014-10-30,0.011353599607635934
2014-10-31,0.05631256204922923
2014-11-03,0.08317074459215898
2014-11-04,0.015633527877206482
2014-11-05,0.04487564687881815
2014-11-06,0.03761767266461771
2014-11-07,0.03192366203549296
2014-11-10,0.021256058248456944
2014-11-11,0.10038395143196174
2014-11-12,0.009894271143660316
2014-11-13,0.02326220864357073
2014-11-14,0.020674409117706988
2014-11-17,0.010627199981373403
2014-11-18,0.038912516948305914
2014-11-19,0.019028563145240762
2014-11-20,0.01568858659637193
2014-11-21,0.01949577658208254
2014-11-24,0.023355269534237166
2014-11-25,0.03362135399304429
2014-11-26,0.009544283257907654
2014-11-27,0.00154180720429907
2014-11-28,0.005629237187029609
2014-12-01,0.01713028453034124
2014-12-02,0.24670116358602534
2014-12-03,0.0774489448823734
2014-12-04,0.13013945710192498
2014-12-05,0.0537298037553114
2014-12-08,0.00985017638645544
2014-12-09,0.017137041436459888
2014-12-10,0.058831338898856556
2014-12-11,0.03196574201071331
2014-12-12,0.05543307294186088
2014-12-15,0.004867615925143287
