,value
strategy_total_return,0.2653427191821389
benchmark_total_return,1.2167406815342434
excess_total_return,-0.9513979623521045
tracking_error,0.12042475151366289
information_ratio,-0.8378986566994011
beta,0.06524292184852527
alpha_annual,0.012208930160023002
excess_max_drawdown,-0.5367402173119837
correlation,0.25075476754186354
