,trade_cost
2020-01-02,6.673481845342791e-06
2020-01-03,7.424725723610309e-05
2020-01-06,1.7719768412797758e-05
2020-01-07,3.065474315902264e-05
2020-01-08,1.0349440712292844e-05
2020-01-09,1.6679742360644546e-05
2020-01-10,3.708552625162887e-05
2020-01-13,9.43648895930265e-06
2020-01-14,4.063427875801218e-06
2020-01-15,4.71800443910976e-06
2020-01-16,5.218895783336467e-06
2020-01-17,1.4167763788785231e-05
2020-01-20,1.776237628958531e-06
2020-01-21,1.1060119797925441e-05
2020-01-22,4.6844805643892555e-05
2020-01-23,1.7111575795302696e-05
2020-02-03,4.325556565406313e-05
2020-02-04,7.8198477843536e-05
2020-02-05,3.75243238077138e-05
2020-02-06,1.472649376878337e-05
2020-02-07,5.025056734680365e-06
2020-02-10,4.1363542431772234e-07
2020-02-11,1.5958672528967878e-07
2020-02-12,7.288016505139002e-06
2020-02-13,1.7989350232194556e-06
2020-02-14,1.3469914099917144e-05
2020-02-17,1.4137545941436e-05
2020-02-18,3.256656238829647e-06
2020-02-19,6.077640581652867e-06
2020-02-20,6.058336539071216e-06
2020-02-21,3.432259093913252e-06
2020-02-24,1.967494184382173e-05
2020-02-25,1.853701921504865e-05
2020-02-26,2.3885894108318297e-05
2020-02-27,1.783169201166321e-06
2020-02-28,4.7418914263677724e-07
2020-03-02,8.78208330113868e-06
2020-03-03,2.1665289468909424e-05
2020-03-04,1.6604652218607518e-07
2020-03-05,1.103939446805511e-05
2020-03-06,3.9497334206281615e-06
2020-03-09,9.947469886102963e-06
2020-03-10,1.8913873993772564e-05
2020-03-11,2.3567595049663952e-06
2020-03-12,4.0320512049915464e-06
2020-03-13,5.69758298130733e-06
2020-03-16,1.1775398614230455e-05
2020-03-17,1.8692733408181452e-05
2020-03-18,2.1716876524795813e-05
2020-03-19,6.52944645856695e-06
2020-03-20,4.323251430424544e-06
2020-03-23,2.7088966726481583e-06
2020-03-24,1.0841956201972887e-05
2020-03-25,2.9906658088514067e-05
2020-03-26,7.450095170104611e-06
2020-03-27,1.965565914995294e-06
2020-03-30,2.111995440180897e-07
2020-03-31,6.801509013081298e-07
2020-04-01,1.483426047189599e-06
2020-04-02,1.638118939449918e-06
2020-04-03,1.7231516336735677e-06
2020-04-07,3.1274708864770933e-07
2020-04-08,1.0739615442976031e-05
2020-04-09,9.056120361360016e-06
2020-04-10,1.4246353294789654e-07
2020-04-13,7.670733215524265e-06
2020-04-14,2.1128271790528396e-07
2020-04-15,4.200201542304959e-06
2020-04-16,0.00010699641523647998
2020-04-17,2.841507996897148e-06
2020-04-20,5.331786440874592e-06
2020-04-21,2.8365497960661237e-07
2020-04-22,1.044649546518721e-06
2020-04-23,5.7184005996755235e-06
2020-04-24,1.673050172346216e-06
2020-04-27,5.289777806835178e-07
2020-04-28,4.061844439127806e-06
2020-04-29,2.490655864909694e-06
2020-04-30,3.189947255959398e-06
2020-05-06,6.777243382665582e-07
2020-05-07,1.0508781239638394e-05
2020-05-08,4.05799580438766e-05
2020-05-11,1.53640483646008e-06
2020-05-12,0.00014472267567050751
2020-05-13,2.4996369885966556e-06
2020-05-14,6.415615930293883e-07
2020-05-15,3.0550658104126288e-06
2020-05-18,0.00014405899845784708
2020-05-19,6.421612642420985e-06
2020-05-20,9.05003884206293e-06
2020-05-21,7.85717993406105e-06
2020-05-22,3.7130189808178142e-06
2020-05-25,1.2463555145884299e-05
2020-05-26,4.72162204600822e-06
2020-05-27,2.1828737759956613e-05
2020-05-28,3.2662183730294143e-06
2020-05-29,3.071612520535949e-06
2020-06-01,5.689239497948251e-07
2020-06-02,1.003248380693482e-06
2020-06-03,1.5231374201460688e-05
2020-06-04,2.9824744153141292e-06
2020-06-05,3.8887271535404945e-06
2020-06-08,6.898349116007257e-08
2020-06-09,7.697084968922012e-06
2020-06-10,1.3093135214668275e-06
2020-06-11,2.7781712380330754e-06
2020-06-12,0.0001542057407892094
2020-06-15,5.043266411052676e-06
2020-06-16,0.00015674201456756886
2020-06-17,0.00015254340988614563
2020-06-18,1.0254634416461197e-05
2020-06-19,1.8874030225196904e-06
2020-06-22,4.926064611892371e-06
2020-06-23,5.127089360968951e-06
2020-06-24,1.52339933742918e-05
2020-06-29,2.2965428182831613e-05
2020-06-30,5.782208333113131e-06
2020-07-01,4.587889062322665e-06
2020-07-02,1.4533163734691976e-05
2020-07-03,1.555602447159756e-05
2020-07-06,5.965552371131784e-06
