,contrib_162411.SZ,contrib_510300.SH,contrib_511010.SH,contrib_513100.SH,contrib_518880.SH
2014-08-01,-0.0,0.0021363438377318203,-0.004054301061890608,-0.0,-0.0
2014-08-04,0.0,-0.004025131911589462,-6.517590472459382e-05,-0.0,0.0
2014-08-05,-0.0,0.0005011077981927604,-0.0006709973639472892,0.0,-0.0
2014-08-06,-0.0,0.0010647247317154473,-0.000804793203162279,-0.0,0.0
2014-08-07,-0.0,0.0018154734168876162,0.001457252485896608,0.0,0.0
2014-08-08,-0.0,-6.909014171324074e-05,-0.000804233669821474,-0.0,0.0
2014-08-11,-0.0,-0.0022836424880914225,-0.0003764723480251649,0.0,-0.0
2014-08-12,0.0,0.0006622214617466951,0.0005635472559693001,0.0,0.0
2014-08-13,0.0,-0.0004622849205998362,-0.0006236555787487786,-0.0,0.0
2014-08-14,-0.0,0.0019131667458046986,-0.0005135335629906768,0.0,0.0
2014-08-15,0.0,-0.0018973821308472462,-0.0010706552242138205,0.0,0.0
2014-08-18,0.0,-0.0004895912755070006,0.0005706235613243318,-0.0,-0.0
2014-08-19,-0.0,-0.00012300727753589665,0.00031487868239293463,0.0,-0.0
2014-08-20,0.0,0.0005546403341107705,0.00033185813593948887,0.0,-0.0
2014-08-21,-0.0,0.0005527537605491441,0.0004943391956072591,-0.0,-0.0
2014-08-22,0.0,-0.0007367964180796223,0.00023041755563482958,0.0,0.0
2014-08-25,0.0,0.001281213204073403,8.538303850271604e-06,0.0,-0.0
2014-08-26,0.0,0.0008913227381827473,-0.0006527766830948974,0.0,0.0
2014-08-27,-0.0,5.901161944937421e-05,0.0006795008466477946,0.0,-0.0
2014-08-28,0.0,-0.0006561554152958431,-0.000541390935888898,-0.0,0.0
2014-08-29,0.0,0.001369465559548464,-0.0001805415459236462,-0.0,0.0
2014-09-01,-0.0,0.000629564061053087,-0.0004922941733404523,0.0,-0.0
2014-09-02,0.0,0.0020469443023671094,0.0002935718034217729,0.0,-0.0
2014-09-03,-0.0,0.001209930541724054,0.00018312602351271986,0.0,-0.0
2014-09-04,0.0,0.001178703278734176,0.00018360981440489898,-0.0,-0.0
2014-09-05,-0.0,0.0012008052339620048,1.752689552677709e-05,-0.0,-0.0
2014-09-09,0.0,-0.0002925487829662246,-0.00025472167746132387,0.0,-0.0
2014-09-10,-0.0,-0.0006395301097307152,0.00047279721717024794,-0.0,0.0005538050800134378
2014-09-11,0.0,-0.0005500360431678331,8.741080950784e-05,0.0,0.0007717069825562263
2014-09-12,-0.0,0.0007726834802443571,0.00016096343928433696,-0.0,0.0010510858451262184
2014-09-15,-0.0,-0.00023737627753170072,-0.0006177029284671226,-0.00031903221046387833,0.0003709163888217533
2014-09-16,-0.0,-0.0014697106552102462,0.00010445819764088643,-0.0012076073075958974,-0.0
2014-09-17,-0.0,0.0002452566614181721,-0.00012687484372328188,0.000909471450144972,-6.410026027403536e-05
2014-09-18,0.0,0.0003070682371798221,-0.00330004782724923,0.00028687631952729696,0.0015346716994086248
2014-09-19,-0.0,0.0008228627530877794,-0.0005866138050665584,0.0015385756024767284,7.906530653352085e-05
2014-09-22,0.0,-0.002114812606671488,-0.0005864612202802253,-0.0007132906649816607,0.0022391771172289585
2014-09-23,-0.0,0.0009092503988381921,-0.0015657197587493482,-0.001002529728477549,-0.00037530552078511256
2014-09-24,-0.0,-0.0017289473691018556,0.002766604757308609,-0.0008315892291018757,-0.0005364775998883493
2014-09-25,0.0,0.000510470837637993,-0.000260420600165554,0.001407856501650003,0.001411776856963668
