,turnover
2020-01-02,0.013346963690685582
2020-01-03,0.14849451447220618
2020-01-06,0.035439536825595516
2020-01-07,0.06130948631804527
2020-01-08,0.02069888142458569
2020-01-09,0.03335948472128909
2020-01-10,0.07417105250325774
2020-01-13,0.018872977918605302
2020-01-14,0.008126855751602435
2020-01-15,0.00943600887821952
2020-01-16,0.010437791566672933
2020-01-17,0.028335527577570463
2020-01-20,0.003552475257917062
2020-01-21,0.022120239595850882
2020-01-22,0.09368961128778511
2020-01-23,0.03422315159060539
2020-02-03,0.08651113130812627
2020-02-04,0.15639695568707201
2020-02-05,0.0750486476154276
2020-02-06,0.02945298753756674
2020-02-07,0.01005011346936073
2020-02-10,0.0008272708486354446
2020-02-11,0.00031917345057935753
2020-02-12,0.014576033010278003
2020-02-13,0.0035978700464389113
2020-02-14,0.026939828199834287
2020-02-17,0.028275091882872
2020-02-18,0.006513312477659294
2020-02-19,0.012155281163305734
2020-02-20,0.012116673078142431
2020-02-21,0.006864518187826504
2020-02-24,0.03934988368764346
2020-02-25,0.037074038430097295
2020-02-26,0.04777178821663659
2020-02-27,0.0035663384023326417
2020-02-28,0.0009483782852735545
2020-03-02,0.01756416660227736
2020-03-03,0.043330578937818845
2020-03-04,0.00033209304437215037
2020-03-05,0.02207878893611022
2020-03-06,0.007899466841256322
2020-03-09,0.019894939772205925
2020-03-10,0.037827747987545124
2020-03-11,0.00471351900993279
2020-03-12,0.008064102409983093
2020-03-13,0.01139516596261466
2020-03-16,0.023550797228460908
2020-03-17,0.0373854668163629
2020-03-18,0.04343375304959163
2020-03-19,0.013058892917133899
2020-03-20,0.008646502860849087
2020-03-23,0.0054177933452963165
2020-03-24,0.021683912403945772
2020-03-25,0.059813316177028134
2020-03-26,0.014900190340209223
2020-03-27,0.003931131829990588
2020-03-30,0.0004223990880361794
2020-03-31,0.0013603018026162594
2020-04-01,0.002966852094379198
2020-04-02,0.003276237878899836
2020-04-03,0.0034463032673471353
2020-04-07,0.0006254941772954187
2020-04-08,0.021479230885952064
2020-04-09,0.01811224072272003
2020-04-10,0.0002849270658957931
2020-04-13,0.015341466431048528
2020-04-14,0.00042256543581056794
2020-04-15,0.008400403084609917
2020-04-16,0.21399283047295997
2020-04-17,0.0056830159937942964
2020-04-20,0.010663572881749184
2020-04-21,0.0005673099592132247
2020-04-22,0.0020892990930374417
2020-04-23,0.011436801199351046
2020-04-24,0.003346100344692432
2020-04-27,0.0010579555613670355
2020-04-28,0.008123688878255611
2020-04-29,0.004981311729819388
2020-04-30,0.006379894511918796
2020-05-06,0.0013554486765331164
2020-05-07,0.02101756247927679
2020-05-08,0.08115991608775319
2020-05-11,0.00307280967292016
2020-05-12,0.289445351341015
2020-05-13,0.004999273977193311
2020-05-14,0.0012831231860587766
2020-05-15,0.006110131620825257
2020-05-18,0.2881179969156942
2020-05-19,0.01284322528484197
2020-05-20,0.01810007768412586
2020-05-21,0.0157143598681221
2020-05-22,0.007426037961635629
2020-05-25,0.024927110291768598
2020-05-26,0.00944324409201644
2020-05-27,0.043657475519913225
2020-05-28,0.006532436746058828
2020-05-29,0.006143225041071898
