,nav
2014-08-01,0.984387800415533
2014-08-04,0.9803511945963489
2014-08-05,0.9801711817602857
2014-08-06,0.9804240366401583
2014-08-07,0.9836289346693137
2014-08-08,0.9827664056976864
2014-08-11,0.9801518070983314
2014-08-12,0.9813484592924812
2014-08-13,0.9802816967571006
2014-08-14,0.9816534419431946
2014-08-15,0.9787316288707711
2014-08-18,0.9788079780529628
2014-08-19,0.9789945846680952
2014-08-20,0.9798620506074358
2014-08-21,0.9808870198054699
2014-08-22,0.980389736309589
2014-08-25,0.9816539981592564
2014-08-26,0.9818831876335501
2014-08-27,0.9826064907732383
2014-08-28,0.9812908026252413
2014-08-29,0.9824565876497188
2014-09-01,0.9825873892492549
2014-09-02,0.9848868907950261
2014-09-03,0.9862507292279105
2014-09-04,0.9875922201401858
2014-09-05,0.9887936299628698
2014-09-09,0.9882505269460935
2014-09-10,0.9884621573881792
2014-09-11,0.9887653695118029
2014-09-12,0.990724701079936
2014-09-15,0.9898229924223937
2014-09-16,0.9872727046420461
2014-09-17,0.9882069267915023
2014-09-18,0.987044528341287
2014-09-19,0.9887814490535219
2014-09-22,0.9876110538143448
2014-09-23,0.9855757103310453
2014-09-24,0.9851566318047483
2014-09-25,0.9881248563137189
2014-09-26,0.9835007502811965
2014-09-29,0.9833041775966912
2014-09-30,0.9802290955609675
2014-10-08,0.9760290426401137
2014-10-09,0.9767309919633518
2014-10-10,0.9749117151970162
2014-10-13,0.9714115067117262
2014-10-14,0.9654701942173376
2014-10-15,0.9658789482286161
2014-10-16,0.9620180095528029
2014-10-17,0.9611130413526539
2014-10-20,0.9613119458975103
2014-10-21,0.9614837886817459
2014-10-22,0.9656639979927493
2014-10-23,0.9675074243823459
2014-10-24,0.969929222544101
2014-10-27,0.9695109368900815
2014-10-28,0.9743228436709391
2014-10-29,0.9743628322865833
2014-10-30,0.9764071872997192
2014-10-31,0.9789814579744056
2014-11-03,0.9836161979599432
2014-11-04,0.986875000460887
2014-11-05,0.9914257071314068
2014-11-06,0.9907438853889357
2014-11-07,0.9944529720066068
2014-11-10,0.9879054591339259
2014-11-11,0.9905025196135354
